code,system,display,description,terminology_id,terminology_description,terminology_name,terminology_resource_type
DOMPART,http://terminology.hl7.org/CodeSystem/v3-RoleCode,domestic partner,The player of the role cohabits with the scoping person but is not the scoping person's spouse.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
EXT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,extended family member,"""Description:A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
EXT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,extended family member,"""Description: A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FAMMEMB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,family member,"""A relationship between two people characterizing their """"familial"""" relationship""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FMRSPS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,former spouse,Player of the role was previously joined to the scoping person in marriage and this marriage is now dissolved and inactive.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,father,The player of the role is a male who begets or raises or nurtures the scoping entity (child).,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FTHFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster father,"""The player of the role (parent) who is a male state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FTHINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,father-in-law,The player of the role is the father of the scoping person's husband or wife.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FTWIN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin,The scoper and player were carried in the same womb and share common biological parents but are the product of distinct egg/sperm pairs.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FTWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin brother,The scoper was carried in the same womb as the male player and shares common biological parents but is the product of a distinct egg/sperm pair.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
FTWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,fraternal twin sister,The scoper was carried in the same womb as the female player and shares common biological parents but is the product of a distinct egg/sperm pair.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GESTM,http://terminology.hl7.org/CodeSystem/v3-RoleCode,gestational mother,The player is a female whose womb carries the fetus of the scoper. Generally used when the gestational mother and natural mother are not the same.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,great grandfather,The player of the role is the father of the scoping person's grandparent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,great grandmother,The player of the role is the mother of the scoping person's grandparent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,great grandparent,The player of the role is a parent of the scoping person's grandparent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandfather,The player of the role is the father of the scoping person's mother or father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandmother,The player of the role is the mother of the scoping person's mother or father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GRNDCHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandchild,The player of the role is a child of the scoping person's son or daughter.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GRNDDAU,http://terminology.hl7.org/CodeSystem/v3-RoleCode,granddaughter,The player of the role is a daughter of the scoping person's son or daughter.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GRNDSON,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandson,The player of the role is a son of the scoping person's son or daughter.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
GRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,grandparent,The player of the role is a parent of the scoping person's mother or father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
HBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-brother,The player of the role is a male related to the scoping entity by sharing only one biological parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
HSIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-sibling,The player of the role is related to the scoping entity by sharing only one biological parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
HSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,half-sister,The player of the role is a female related to the scoping entity by sharing only one biological parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
HUSB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,husband,The player of the role is a man joined to a woman (scoping person) in marriage.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
INLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,inlaw,A relationship between an individual and a member of their spousal partner's immediate family.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
ITWIN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,identical twin,The scoper and player are offspring of the same egg-sperm pair.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
ITWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,identical twin brother,The male scoper is an offspring of the same egg-sperm pair as the male player.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
ITWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,identical twin sister,The female scoper is an offspring of the same egg-sperm pair as the female player.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MAUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal aunt,**Description:**The player of the role is a biological sister of the scoping person's biological mother.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MCOUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal cousin,"""**Description:**The player of the role is a biological relative of the scoping person descended from a common ancestor on the player's mother's side, such as a grandparent, by two or more steps in a diverging line.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MGGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal great-grandfather,**Description:**The player of the role is the biological father of the scoping person's biological mother's parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MGGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal great-grandmother,**Description:**The player of the role is the biological mother of the scoping person's biological mother's parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MGGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal great-grandparent,**Description:**The player of the role is a biological parent of the scoping person's biological mother's parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal grandfather,**Description:**The player of the role is the biological father of the scoping person's biological mother.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal grandmother,**Description:**The player of the role is the biological mother of the scoping person's biological mother.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal grandparent,**Description:**The player of the role is the biological parent of the scoping person's biological mother.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,mother,"""The player of the role is a female who conceives, gives birth to, or raises and nurtures the scoping entity (child).""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MTHFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster mother,"""The player of the role (parent) who is a female state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MTHINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,mother-in-law,The player of the role is the mother of the scoping person's husband or wife.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MTHINLOAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,mother-in-law,The player of the role is the mother of the scoping person's husband or wife.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
MUNCLE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,maternal uncle,**Description:**The player of the role is a biological brother of the scoping person's biological mother.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural brother,The player of the role is a male having the same biological parents as the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NCHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural child,The player of the role is an offspring of the scoping entity as determined by birth.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NEPHEW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,nephew,The player of the role is a son of the scoping person's brother or sister or of the brother or sister of the scoping person's spouse.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural father,The player of the role is a male who begets the scoping entity (child).,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NFTHF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural father of fetus,Indicates the biologic male parent of a fetus.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NIECE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,niece,The player of the role is a daughter of the scoping person's brother or sister or of the brother or sister of the scoping person's spouse.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NIENEPH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,niece/nephew,The player of the role is a child of scoping person's brother or sister or of the brother or sister of the scoping person's spouse.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural mother,The player of the role is a female who conceives or gives birth to the scoping entity (child).,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NMTHF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural mother of fetus,The player is the biologic female parent of the scoping fetus.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural parent,,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NSIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural sibling,The player of the role has both biological parents in common with the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
NSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural sister,The player of the role is a female having the same biological parents as the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PAUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal aunt,**Description:**The player of the role is a biological sister of the scoping person's biological father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PCOUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal cousin,"""**Description:**The player of the role is a biological relative of the scoping person descended from a common ancestor on the player's father's side, such as a grandparent, by two or more steps in a diverging line.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PGGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal great-grandfather,**Description:**The player of the role is the biological father of the scoping person's biological father's parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PGGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal great-grandmother,**Description:**The player of the role is the biological mother of the scoping person's biological father's parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PGGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal great-grandparent,**Description:**The player of the role is a biological parent of the scoping person's biological father's parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PGRFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal grandfather,**Description:**The player of the role is the biological father of the scoping person's biological father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PGRMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal grandmother,**Description:**The player of the role is the biological mother of the scoping person's biological father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PGRPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal grandparent,**Description:**The player of the role is the biological parent of the scoping person's biological father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,parent,"""The player of the role is one who begets, gives birth to, or nurtures and raises the scoping entity (child).""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PRNFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster parent,"""The player of the role (parent) who is a state-certified caregiver responsible for the scoper (child) who has been placed in the parent's care. The placement of the child is usually arranged through the government or a social-service agency, and temporary.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PRNINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,parent in-law,The player of the role is the parent of scoping person's husband or wife.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
PUNCLE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,paternal uncle,**Description:**The player of the role is a biological brother of the scoping person's biological father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sibling,The player of the role shares one or both parents in common with the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SIBINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sibling in-law,"""The player of the role is: (1) a sibling of the scoping person's spouse, or (2) the spouse of the scoping person's sibling, or (3) the spouse of a sibling of the scoping person's spouse.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SIGOTHR,http://terminology.hl7.org/CodeSystem/v3-RoleCode,significant other,A person who is important to one's well being; especially a spouse or one in a similar relationship. (The player is the one who is important),ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sister,The player of the role is a female sharing one or both parents in common with the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SISINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sister-in-law,"""The player of the role is: (1) a sister of the scoping person's spouse, or (2) the wife of the scoping person's brother, or (3) the wife of a brother of the scoping person's spouse.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SISLINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,sister-in-law,"""The player of the role is: (1) a sister of the scoping person's spouse, or (2) the wife of the scoping person's brother, or (3) the wife of a brother of the scoping person's spouse.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SON,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural son,The player of the role is a male offspring of the scoping entity (parent).,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SONADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted son,The player of the role is a male child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SONC,http://terminology.hl7.org/CodeSystem/v3-RoleCode,son,Description:The player of the role is a male child (of any type) of scoping entity (parent),ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SONFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster son,The player of the role is a male child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SONINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,son in-law,The player of the role is the husband of scoping person's daughter.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
SPS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,spouse,The player of the role is a marriage partner of the scoping person.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepbrother,The player of the role is a son of the scoping person's stepparent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPCHLD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,step child,The player of the role is a child of the scoping person's spouse by a previous union.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPDAU,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepdaughter,The player of the role is a daughter of the scoping person's spouse by a previous union.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPFTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepfather,The player of the role is the husband of scoping person's mother and not the scoping person's natural father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPMTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepmother,The player of the role is the wife of scoping person's father and not the scoping person's natural mother.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPPRN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,step parent,The player of the role is the spouse of the scoping person's parent and not the scoping person's natural parent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPSIB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,step sibling,The player of the role is a child of the scoping person's stepparent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepsister,The player of the role is a daughter of the scoping person's stepparent.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
STPSON,http://terminology.hl7.org/CodeSystem/v3-RoleCode,stepson,The player of the role is a son of the scoping person's spouse by a previous union.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
TWIN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,twin,The scoper and player were carried in the same womb and shared common biological parents.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
TWINBRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,twin brother,The scoper was carried in the same womb as the male player and shares common biological parents.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
TWINSIS,http://terminology.hl7.org/CodeSystem/v3-RoleCode,twin sister,The scoper was carried in the same womb as the female player and shares common biological parents.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
UNCLE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,uncle,The player of the role is a brother of the scoping person's mother or father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
WIFE,http://terminology.hl7.org/CodeSystem/v3-RoleCode,wife,The player of the role is a woman joined to a man (scoping person) in marriage.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
